,alcohol,chlorides,free_sulfur_dioxide,sulphates,density,volatile_acidity,citric_acid
0,0,1,4,1,0,1,4
1,1,1,4,2,3,3,1
2,3,4,4,2,0,3,2
3,4,3,3,0,0,3,1
4,1,4,1,2,4,1,3
5,2,1,3,4,4,3,1
6,0,4,1,2,2,1,4
7,3,0,4,1,4,0,2
8,0,1,4,4,4,4,4
9,2,4,4,2,1,1,3
10,2,2,3,0,0,2,1
11,0,2,0,1,3,0,0
12,4,1,0,4,3,4,1
13,1,1,3,0,0,3,4
14,1,0,3,3,0,0,4
15,3,2,2,0,1,3,1
16,2,0,0,2,0,1,2
17,3,0,0,1,0,3,0
18,1,2,4,4,0,1,0
19,0,2,0,0,1,3,0
20,4,4,0,3,0,1,0
21,1,2,1,2,2,4,1
22,4,0,3,0,0,0,0
23,2,0,4,1,0,2,1
24,1,1,0,2,1,3,0
25,1,2,4,2,0,0,1
26,2,2,2,1,2,3,4
27,2,1,3,0,3,1,1
28,2,0,2,2,1,1,0
29,0,3,1,2,1,2,4
30,2,4,3,0,3,4,1
31,3,4,1,0,1,2,0
32,2,2,0,1,1,1,2
33,4,1,3,0,2,4,3
34,4,2,0,4,1,1,3
35,4,0,0,4,1,0,4
36,1,1,0,2,4,0,2
37,2,3,4,3,2,1,1
38,0,2,2,4,0,2,3
39,1,0,0,3,4,3,2
40,0,2,2,0,0,3,3
41,0,2,3,0,2,2,2
42,2,0,3,1,1,3,2
43,0,2,3,1,1,1,3
44,3,2,1,1,4,0,0
45,1,0,0,0,2,0,0
46,1,1,2,1,4,0,4
47,1,4,1,1,3,3,1
48,4,1,3,2,0,3,0
49,0,0,0,0,1,4,0
50,2,3,0,1,4,3,1
51,1,0,3,1,0,4,2
52,2,1,0,2,4,3,1
53,3,3,2,3,0,2,2
54,0,3,3,1,0,3,2
55,3,0,2,3,3,0,0
56,4,3,2,2,4,0,4
57,1,3,1,3,2,0,4
58,1,2,2,1,2,0,3
59,3,0,0,1,0,2,0
60,0,3,3,4,2,3,3
61,1,2,4,0,4,1,1
62,2,0,2,4,4,2,3
63,2,2,4,0,2,1,0
64,4,3,0,2,1,2,2
65,1,0,4,0,1,3,0
66,3,1,1,0,3,1,2
67,4,3,3,0,1,1,0
68,1,0,2,1,2,2,0
69,4,2,0,1,4,4,3
70,1,0,0,0,2,1,0
71,3,0,3,1,1,0,2
72,0,0,0,0,4,3,3
73,1,0,0,4,2,0,0
74,0,1,2,1,0,2,2
75,0,1,1,2,1,0,4
76,1,1,3,0,1,4,1
77,4,1,2,3,2,1,3
78,0,4,0,0,3,1,1
79,3,3,0,2,0,0,1
80,0,0,0,4,1,0,3
81,1,2,4,4,0,0,0
82,1,2,2,1,4,1,3
83,2,0,4,0,4,2,0
84,1,0,0,2,3,3,0
85,2,1,4,0,1,4,2
86,3,1,4,3,0,1,3
87,2,2,4,1,4,3,2
88,4,0,4,2,4,0,4
89,1,4,3,0,2,0,3
90,2,3,1,4,0,1,4
91,0,1,4,0,3,1,4
92,2,0,0,2,2,0,1
93,2,2,4,0,2,4,1
94,2,2,3,4,4,1,0
95,2,3,4,2,1,0,4
96,3,4,0,1,2,1,4
97,0,0,1,1,3,1,2
98,2,3,4,1,4,2,4
99,0,3,0,2,4,0,3
100,1,3,4,4,4,1,0
101,0,0,0,0,1,1,3
102,1,2,4,1,3,4,2
103,2,2,3,4,1,1,1
104,4,0,2,0,2,2,2
105,0,0,1,1,2,1,2
106,0,0,2,3,3,2,0
107,3,3,3,0,1,2,3
108,1,2,0,4,4,2,2
109,1,4,3,2,1,3,0
110,0,1,3,1,0,1,1
111,1,4,4,3,2,0,2
112,0,1,4,0,2,0,0
113,3,4,3,0,1,1,0
114,1,2,0,1,3,2,3
115,0,2,3,1,4,3,0
116,3,0,0,0,4,2,1
117,3,1,4,3,4,4,2
118,0,0,1,1,3,3,0
119,3,2,4,1,4,3,0
120,3,2,3,1,3,3,2
121,0,1,3,2,0,4,0
122,3,0,3,1,2,1,3
123,1,0,2,3,4,1,3
124,3,3,2,3,1,3,1
125,0,1,1,4,2,3,1
126,4,3,1,0,4,4,4
127,2,0,3,1,4,2,1
128,1,2,1,4,4,4,4
129,0,2,0,3,1,3,1
130,2,1,3,3,1,4,1
131,0,3,2,2,0,4,2
132,0,1,2,0,2,0,3
133,4,0,0,0,0,2,3
134,0,3,4,1,0,1,4
135,2,3,4,4,2,0,2
136,0,3,2,4,0,4,2
137,4,1,2,1,0,4,4
138,1,4,1,1,3,0,4
139,1,3,0,0,1,4,0
140,0,3,4,0,3,2,1
141,4,0,1,1,2,0,1
142,1,2,3,1,0,3,0
143,0,0,4,4,1,1,0
144,0,3,2,4,3,1,0
145,2,1,3,3,0,3,0
146,2,1,1,4,0,0,0
147,0,2,0,1,0,2,0
148,4,4,4,2,0,2,0
149,1,0,1,0,1,0,2
150,1,1,0,2,1,4,2
151,4,0,2,1,4,2,2
152,2,0,1,1,0,1,1
153,0,4,4,1,2,3,1
154,3,4,2,0,3,1,1
155,3,1,0,4,1,0,2
156,1,1,0,1,1,2,3
157,1,2,2,2,3,0,2
158,2,3,1,4,0,3,0
159,0,4,2,0,0,0,1
160,1,3,3,4,1,0,4
161,0,0,3,0,2,0,0
162,1,1,4,3,2,2,1
163,1,2,0,2,4,4,3
164,1,1,0,1,1,1,0
165,3,3,4,4,2,4,3
166,2,0,2,2,0,3,1
167,1,1,1,0,1,1,0
168,0,2,4,1,1,1,1
169,2,0,4,1,3,4,3
170,0,4,4,4,2,4,0
171,3,4,0,2,3,0,0
172,2,1,0,0,3,1,4
173,0,2,3,0,3,4,3
174,4,0,3,1,3,1,1
175,4,2,0,2,0,4,0
176,0,1,3,2,1,4,1
177,4,3,1,1,1,4,4
178,2,2,1,3,0,4,3
179,1,2,1,2,2,4,2
180,0,0,4,3,0,0,0
181,1,1,0,4,0,0,1
182,4,1,2,1,3,3,1
183,4,1,0,0,0,3,3
184,4,1,4,4,0,2,1
185,3,2,0,1,0,4,0
186,2,3,0,1,1,1,0
187,1,0,2,1,4,4,2
188,2,4,1,4,4,4,1
189,4,4,2,0,3,1,3
190,3,3,1,0,2,2,0
191,2,4,2,2,4,1,1
192,3,1,0,0,0,0,2
193,0,0,4,2,2,3,1
194,4,0,4,3,4,2,2
195,2,3,1,1,0,0,1
196,3,2,3,4,1,3,0
197,0,2,0,0,4,4,3
198,0,4,0,0,2,1,2
199,0,2,1,1,3,0,1
200,4,3,3,4,3,0,3
201,1,3,0,0,1,0,0
202,1,0,0,2,2,0,1
203,3,0,4,0,0,2,3
204,2,1,0,0,2,4,1
205,1,0,2,0,1,4,1
206,1,0,0,2,0,0,1
207,1,0,0,1,0,0,4
208,3,1,2,3,1,4,0
209,1,0,0,3,2,0,0
210,4,3,3,4,3,0,0
211,4,4,0,4,0,2,0
212,1,1,0,0,1,2,3
213,2,3,0,3,3,2,1
214,4,0,3,0,0,4,4
215,1,2,1,0,2,0,2
216,3,1,0,2,4,3,0
217,1,0,1,1,2,0,1
218,0,0,3,4,0,4,0
219,4,0,0,3,3,0,2
220,2,1,2,3,0,4,4
221,2,0,0,0,3,1,1
222,3,1,3,1,0,1,0
223,1,0,4,2,1,3,4
224,2,1,3,2,1,3,2
225,2,1,0,0,0,2,3
226,1,3,0,4,3,2,1
227,2,1,0,1,0,3,3
228,2,4,0,0,4,1,4
229,1,0,0,4,1,4,2
230,3,0,1,0,4,4,3
231,4,1,2,3,2,2,1
232,2,3,2,1,1,3,1
233,0,2,1,4,0,0,3
234,1,2,0,1,2,4,1
235,4,0,3,0,2,1,0
236,2,1,0,2,2,3,1
237,0,1,0,0,4,0,4
238,2,2,3,0,1,4,0
239,0,2,3,1,3,0,3
240,1,4,0,1,1,2,4
241,2,3,3,3,0,0,4
242,3,0,1,2,4,0,0
243,1,0,1,1,1,4,4
244,3,1,3,0,0,4,3
245,4,1,3,4,0,1,1
246,1,2,3,3,0,4,0
247,3,3,3,0,4,3,0
248,0,2,3,1,0,4,0
249,4,3,2,4,1,3,1
250,1,4,3,2,4,4,1
251,3,2,4,2,2,1,3
252,0,0,2,0,3,2,4
253,0,0,4,0,0,0,1
254,3,0,2,0,0,2,4
255,4,4,1,0,2,0,0
256,2,0,0,3,4,1,4
257,2,1,0,4,4,4,2
258,0,1,0,2,4,1,1
259,2,3,0,4,0,4,2
260,1,4,0,0,4,4,0
261,2,1,0,1,4,3,4
262,0,1,0,4,3,4,1
263,2,0,2,1,1,1,3
264,2,4,4,0,3,4,1
265,4,4,2,3,3,4,1
266,4,3,1,4,1,3,1
267,3,3,0,2,3,2,2
268,1,3,4,3,4,2,1
269,1,0,0,1,1,4,1
270,1,1,2,3,2,1,0
271,4,1,2,4,2,4,2
272,3,0,4,4,2,0,4
273,0,4,3,0,4,4,0
274,3,0,2,4,1,0,1
275,2,4,3,4,2,0,0
276,2,0,4,4,3,3,0
277,2,0,4,3,0,4,2
278,3,1,2,3,2,3,0
279,0,0,3,1,2,1,1
280,2,0,0,3,4,0,1
281,1,0,0,4,1,2,3
282,0,0,0,3,0,4,4
283,0,4,0,4,1,2,1
284,2,3,4,2,0,3,3
285,2,4,1,4,0,1,3
286,1,0,0,0,3,0,1
287,2,0,4,1,1,0,0
288,3,0,0,0,2,1,1
289,0,0,1,1,0,0,0
290,0,2,3,2,0,3,0
291,4,0,1,4,4,3,2
292,2,0,4,4,2,0,3
293,0,0,1,4,2,3,1
294,3,3,0,1,0,4,1
295,2,3,2,3,1,0,4
296,3,0,4,3,2,3,1
297,4,0,2,0,2,4,0
298,1,0,0,0,4,1,1
299,2,3,1,0,2,0,1
300,1,4,2,4,3,3,0
301,1,3,1,3,3,3,1
302,1,0,0,0,1,3,2
303,4,0,1,4,0,2,4
304,0,0,0,0,0,1,3
305,2,4,1,1,3,1,0
306,1,1,0,3,4,1,1
307,2,3,1,3,0,0,3
308,0,2,0,0,2,1,3
309,2,0,0,2,0,0,1
310,4,1,2,4,3,0,3
311,2,3,0,2,3,2,2
312,3,2,2,2,2,0,0
313,4,0,1,4,0,1,3
314,4,4,0,3,4,2,1
315,3,3,0,0,2,0,1
316,1,4,1,1,3,3,3
317,1,0,3,2,4,4,1
318,0,0,0,4,4,0,1
319,3,2,3,2,1,0,2
320,4,0,1,0,4,3,2
321,1,3,4,2,0,1,4
322,3,0,3,0,3,0,1
323,2,0,3,2,1,3,4
324,2,0,0,0,4,1,4
325,0,3,0,0,2,2,2
326,4,3,1,2,4,0,2
327,1,1,0,4,1,3,0
328,1,1,2,1,0,2,3
329,4,1,4,1,4,1,2
330,1,0,0,0,0,0,1
331,2,3,3,0,2,3,4
332,0,1,0,2,0,0,0
333,1,1,4,0,4,0,2
334,4,1,1,4,2,0,2
335,4,2,0,3,4,1,0
336,1,0,2,0,0,3,0
337,2,4,1,1,0,1,0
338,1,3,1,1,1,3,4
339,0,0,2,3,0,1,0
340,2,0,3,0,2,0,0
341,3,3,4,1,0,2,2
342,4,0,3,3,1,4,0
343,4,2,0,0,0,1,4
344,3,0,0,0,2,3,2
345,1,0,1,3,1,3,3
346,2,3,2,2,1,4,3
347,4,3,2,4,0,3,4
348,1,2,3,1,0,4,1
349,4,4,4,1,4,2,4
350,2,1,4,2,3,3,3
351,2,3,0,1,3,2,4
352,1,1,0,4,1,1,4
353,1,0,0,0,0,1,2
354,0,2,1,0,3,2,4
355,2,2,1,0,2,3,1
356,1,0,2,1,0,4,1
357,2,3,2,0,1,3,3
358,4,3,3,1,2,4,2
359,0,3,2,1,1,1,4
360,2,4,0,1,4,2,2
361,0,4,3,2,1,1,2
362,4,0,1,1,0,3,2
363,4,4,0,4,2,4,4
364,1,0,0,1,0,4,1
365,1,3,0,1,1,2,0
366,4,0,0,4,1,1,4
367,3,3,0,4,0,1,0
368,0,0,1,0,3,1,0
369,1,0,3,3,1,0,0
370,4,3,0,1,1,3,0
371,1,0,1,2,0,2,0
372,4,3,2,4,3,0,0
373,1,3,4,1,0,2,2
374,3,0,0,2,0,0,1
375,1,1,0,1,1,1,1
376,2,3,2,4,0,2,0
377,2,0,0,1,4,0,0
378,0,1,0,3,2,3,0
379,3,4,3,3,2,1,0
380,3,2,3,3,3,0,1
381,3,0,4,2,0,0,3
382,0,4,1,1,4,0,3
383,2,0,1,2,0,0,1
384,3,3,2,4,1,2,2
385,3,3,2,3,4,4,0
386,0,3,3,3,3,4,3
387,3,3,0,0,2,0,3
388,1,3,1,3,4,3,0
389,1,4,1,1,1,0,3
390,3,1,1,4,3,4,4
391,2,1,0,2,4,2,3
392,0,2,3,0,3,2,1
393,3,1,4,3,1,2,2
394,2,2,4,0,1,2,1
395,0,1,2,1,3,1,1
396,1,1,0,1,1,2,3
397,1,4,2,0,2,3,2
398,3,2,0,1,3,1,4
399,2,3,3,3,0,2,0
400,1,2,1,4,0,3,0
401,3,3,0,2,1,4,1
402,3,2,2,4,4,4,1
403,0,0,0,0,2,2,2
404,0,4,3,0,0,3,4
405,1,0,3,0,3,3,2
406,4,2,0,0,3,4,0
407,0,0,2,4,0,2,2
408,2,3,3,2,1,0,1
409,0,4,0,3,2,2,0
410,3,2,4,1,0,4,3
411,4,0,0,0,0,4,2
412,2,0,1,3,2,0,3
413,1,0,0,2,3,2,2
414,4,0,3,2,0,2,0
415,0,2,3,0,1,4,0
416,2,2,3,1,0,2,4
417,1,1,1,1,2,0,3
418,3,0,1,0,3,2,1
419,0,2,0,4,4,0,0
420,2,1,3,3,3,1,1
421,4,3,1,4,1,0,0
422,4,3,0,0,0,1,1
423,4,4,1,3,4,0,2
424,0,0,2,0,2,0,0
425,1,0,0,3,4,0,1
426,0,4,2,2,1,3,2
427,4,2,1,3,1,0,1
428,4,0,4,0,1,3,0
429,2,3,1,0,3,0,3
430,2,2,4,0,0,3,0
431,1,3,1,3,4,1,0
432,0,2,0,1,4,0,1
433,4,0,0,1,4,4,1
434,1,0,0,1,0,1,2
435,3,0,0,3,0,1,4
436,2,0,0,0,1,2,4
437,0,0,2,1,2,4,1
438,1,2,4,0,3,1,0
439,3,0,3,0,2,3,3
440,1,2,4,3,1,2,0
441,4,4,0,0,0,1,4
442,1,4,1,1,1,0,0
443,1,4,0,3,0,4,1
444,4,3,0,0,2,4,0
445,1,0,3,4,4,4,0
446,3,4,4,2,1,2,0
447,4,3,4,1,2,0,1
448,3,2,4,0,2,4,1
449,0,3,1,4,1,0,2
450,1,4,1,0,0,0,1
451,0,1,4,0,0,3,4
452,2,1,4,1,0,2,0
453,1,1,3,4,3,1,2
454,1,0,2,4,1,2,2
455,2,3,0,1,2,1,2
456,1,1,3,1,2,2,0
457,0,4,0,0,2,1,2
458,2,2,3,0,4,3,1
459,1,4,0,0,1,0,2
460,3,3,0,4,0,0,2
461,0,3,2,4,3,4,3
462,0,2,0,0,1,4,0
463,1,0,4,1,4,1,4
464,1,4,3,4,4,1,1
465,0,4,0,0,2,2,0
466,1,4,0,0,4,3,2
467,4,1,4,2,1,2,2
468,1,0,1,1,0,0,3
469,3,0,1,0,3,3,3
470,1,0,1,3,0,1,2
471,3,1,1,3,0,1,1
472,1,3,1,4,1,3,1
473,0,4,0,3,1,2,3
474,1,2,2,2,2,1,0
475,1,1,3,0,3,4,3
476,0,1,3,0,4,2,2
477,0,4,1,4,3,0,0
478,2,0,3,3,1,4,1
479,1,1,3,4,1,4,2
480,1,0,2,0,3,0,4
481,4,3,0,1,0,2,4
482,0,0,0,1,1,2,0
483,3,4,1,0,4,3,1
484,4,2,3,2,3,3,0
485,3,0,4,4,0,0,1
486,0,1,4,0,0,1,4
487,0,0,1,2,2,3,0
488,2,1,1,0,2,1,2
489,4,4,4,0,2,3,3
490,4,1,4,2,4,0,4
491,2,3,2,1,3,3,2
492,1,1,0,0,4,3,0
493,3,3,3,2,0,4,3
494,3,1,0,4,1,4,3
495,4,3,1,0,3,4,0
496,1,0,0,0,4,0,0
497,2,0,0,1,3,4,0
498,3,0,1,3,1,4,1
499,1,3,4,2,1,3,2
500,4,4,0,0,4,4,0
501,2,0,1,0,4,0,2
502,2,0,0,2,0,3,4
503,4,1,1,0,0,3,3
504,3,2,3,0,4,2,3
505,0,3,3,1,0,4,4
506,4,4,3,4,3,3,0
507,2,0,0,2,1,0,0
508,2,1,0,1,0,1,0
509,3,3,0,1,2,4,0
510,3,0,1,0,2,4,0
511,2,4,3,2,4,1,0
512,4,2,4,0,2,1,2
513,4,2,0,0,4,3,0
514,2,1,0,0,3,0,4
515,3,0,4,2,0,0,2
516,3,0,0,0,0,1,0
517,3,1,4,3,0,0,3
518,1,4,1,0,4,4,4
519,0,3,3,2,1,4,0
520,4,4,3,4,0,4,4
521,0,4,3,1,3,2,3
522,1,0,0,4,0,0,2
523,2,4,0,0,1,0,0
524,3,1,2,3,3,3,0
525,3,0,0,0,0,3,4
526,2,4,0,0,0,3,1
527,3,2,3,1,1,4,4
528,2,1,3,1,3,1,1
529,0,0,0,2,2,0,0
530,2,2,0,1,0,0,0
531,1,3,3,0,2,3,1
532,1,1,3,1,3,1,4
533,2,0,2,3,1,3,4
534,1,1,4,3,1,0,2
535,2,3,4,4,0,1,4
536,1,4,4,4,0,1,1
537,4,2,4,3,1,0,1
538,2,4,0,1,3,0,2
539,1,0,1,0,4,0,4
540,1,4,4,3,3,4,4
541,2,4,2,1,3,3,4
542,1,4,3,3,0,4,2
543,4,4,1,0,0,3,3
544,0,1,0,4,3,1,4
545,0,4,0,2,0,4,3
546,2,2,1,3,0,4,0
547,1,2,0,4,3,0,3
548,2,0,4,1,0,4,1
549,1,2,2,1,0,0,4
550,1,0,0,1,0,4,0
551,2,0,2,3,1,0,1
552,1,4,3,0,4,3,1
553,4,0,0,3,4,0,0
554,0,2,3,3,2,4,4
555,2,0,0,3,3,4,4
556,3,1,1,0,0,3,1
557,4,0,1,0,0,2,3
558,4,2,0,4,4,1,2
559,0,1,0,3,1,3,2
560,1,1,3,0,2,0,3
561,2,0,0,4,3,2,1
562,2,4,3,3,0,1,1
563,0,1,4,4,2,0,2
564,3,0,0,1,2,1,4
565,2,4,0,2,0,2,1
566,1,2,2,4,1,4,0
567,0,0,0,0,1,3,0
568,2,0,1,1,1,4,3
569,4,1,1,2,0,3,1
570,3,4,0,1,2,0,1
571,1,3,3,2,2,1,0
572,0,2,1,0,2,1,3
573,2,2,2,4,1,3,3
574,4,4,4,3,2,2,1
575,0,0,0,0,2,3,4
576,3,2,3,4,3,4,3
577,3,0,2,2,3,0,1
578,2,0,4,0,1,3,0
579,3,3,1,3,1,0,4
580,1,4,3,3,3,2,0
581,4,3,4,0,3,0,1
582,4,0,0,4,2,0,3
583,1,2,3,1,2,0,4
584,4,1,1,0,1,0,2
585,3,3,0,2,0,4,0
586,4,3,3,0,3,2,0
587,3,3,0,3,1,2,1
588,3,0,4,0,0,3,0
589,2,4,2,3,0,2,0
590,4,1,2,0,2,2,0
591,4,4,2,1,0,0,1
592,3,0,4,1,2,1,3
593,1,2,3,4,1,4,0
594,1,4,1,1,1,0,1
595,3,2,0,0,0,0,0
596,0,1,0,3,0,3,3
597,4,1,2,1,4,0,1
598,0,3,4,4,0,2,3
599,1,1,3,1,2,0,1
600,0,2,0,4,3,4,4
601,0,3,2,1,4,0,1
602,2,0,0,4,4,0,3
603,1,1,4,0,3,0,0
604,4,1,0,2,1,3,0
605,2,0,0,4,0,2,1
606,3,4,4,1,1,0,0
607,0,2,0,0,3,1,0
608,4,3,4,1,4,2,4
609,1,0,3,1,4,4,4
610,1,1,3,0,3,0,3
611,2,0,1,1,4,3,2
612,3,2,4,0,0,0,2
613,0,3,1,1,2,1,1
614,3,1,3,1,1,3,1
615,0,0,4,4,3,0,0
616,2,3,3,1,0,3,4
617,1,0,4,1,3,0,3
618,1,4,4,0,3,4,1
619,0,0,2,1,1,0,1
620,4,4,0,1,0,2,2
621,1,0,2,1,0,3,3
622,2,4,1,0,4,0,1
623,4,0,1,0,0,4,2
624,1,3,1,2,1,0,3
625,4,1,4,0,0,0,2
626,2,1,3,3,2,3,0
627,2,4,0,3,2,0,0
628,1,3,4,1,0,1,2
629,0,1,2,1,0,1,4
630,1,2,3,3,1,1,4
631,1,0,3,2,0,4,3
632,2,2,1,4,1,1,1
633,1,2,0,1,2,0,3
634,4,0,0,4,0,0,4
635,2,0,2,2,4,3,0
636,3,4,0,3,1,1,4
637,2,0,0,0,1,1,2
638,1,0,3,2,0,0,3
639,3,0,3,3,1,1,2
640,3,3,0,3,3,0,0
641,0,4,3,2,4,4,1
642,0,4,2,2,4,2,0
643,0,2,0,0,3,3,3
644,0,1,1,2,1,4,2
645,0,2,4,4,0,0,0
646,0,3,0,0,1,2,1
647,3,3,2,3,0,3,3
648,0,3,1,4,3,0,3
649,1,3,3,3,2,1,3
650,2,3,2,4,0,3,0
651,3,4,0,4,0,3,3
652,1,2,3,4,1,4,0
653,4,1,0,3,4,4,0
654,4,0,4,1,1,1,0
655,3,0,0,4,1,0,2
656,3,1,3,3,4,0,3
657,0,3,1,1,4,4,2
658,2,3,1,4,2,0,3
659,2,2,4,3,3,4,0
660,2,0,2,0,1,2,2
661,2,3,0,0,2,0,0
662,0,0,3,1,3,0,2
663,1,4,0,3,0,0,1
664,3,0,0,4,3,2,2
665,2,0,0,3,0,0,1
666,1,0,3,0,2,0,0
667,2,0,0,1,0,3,2
668,2,2,2,0,4,0,0
669,4,4,0,2,0,0,3
670,2,4,0,3,0,0,2
671,2,0,4,0,0,1,1
672,3,3,1,4,3,0,4
673,0,0,4,1,4,2,1
674,0,0,0,1,1,0,4
675,0,3,2,4,3,0,1
676,0,2,1,0,0,3,2
677,2,2,2,0,0,3,4
678,0,4,1,0,4,1,0
679,1,2,2,2,1,1,3
680,3,2,2,1,3,0,2
681,3,3,4,0,2,1,0
682,1,0,1,2,3,1,4
683,4,3,0,1,1,0,4
684,0,4,4,2,1,0,1
685,1,0,0,0,4,3,3
686,3,2,0,4,2,0,0
687,0,2,4,0,2,1,1
688,4,3,4,0,0,2,1
689,1,1,4,4,1,3,1
690,2,2,0,0,2,1,0
691,1,0,4,4,2,3,2
692,2,0,1,0,4,4,1
693,0,2,2,3,0,4,3
694,0,3,3,1,0,3,1
695,3,2,4,3,0,0,0
696,1,3,3,2,2,0,1
697,0,4,0,1,3,4,4
698,3,1,3,1,2,0,0
699,2,0,1,0,0,1,1
700,2,0,3,4,0,0,1
701,1,4,2,2,4,1,4
702,4,3,2,2,4,2,4
703,0,1,4,0,0,1,4
704,1,3,3,3,1,1,4
705,1,3,0,0,4,0,4
706,1,3,2,0,2,0,4
707,0,2,1,2,1,0,4
708,1,2,0,1,2,0,3
709,0,0,4,4,1,3,0
710,3,2,1,4,2,2,0
711,3,0,1,3,1,1,3
712,0,2,2,3,4,1,3
713,0,4,0,3,2,3,4
714,3,0,4,1,2,3,3
715,4,2,0,4,4,0,4
716,3,0,0,2,4,1,0
717,2,2,4,0,0,4,2
718,3,1,4,0,1,3,1
719,0,0,3,3,1,3,1
720,1,3,0,3,1,4,0
721,4,3,1,0,3,4,4
722,4,4,2,0,2,4,1
723,3,1,4,0,0,2,4
724,1,3,4,1,2,0,2
725,4,0,0,3,2,4,4
726,1,1,3,4,4,4,4
727,0,3,3,2,0,0,2
728,4,1,0,3,1,3,3
729,3,0,0,3,3,3,1
730,2,3,4,0,3,3,1
731,4,4,1,2,4,0,1
732,1,0,4,1,3,0,0
733,3,3,1,3,1,1,2
734,2,0,1,3,1,0,3
735,2,2,2,0,1,4,1
736,2,3,4,4,0,1,3
737,1,1,0,3,3,2,0
738,2,2,3,1,4,1,0
739,1,2,2,0,4,0,0
740,4,3,4,0,0,3,1
741,2,3,4,0,3,0,0
742,3,3,2,2,3,0,2
743,2,1,0,2,2,0,0
744,0,4,4,1,0,2,0
745,0,3,3,4,0,1,0
746,3,0,4,0,4,1,4
747,4,4,0,0,4,4,0
748,2,0,0,0,4,4,0
749,0,3,0,0,1,2,3
750,3,1,2,0,1,3,1
751,1,0,3,1,0,4,2
752,0,0,1,0,1,2,2
753,4,0,3,2,0,4,3
754,0,2,3,3,0,1,2
755,4,3,1,3,4,1,4
756,1,3,0,0,4,3,0
757,4,1,0,1,0,0,3
758,0,2,3,1,0,0,3
759,2,1,3,0,1,1,0
760,3,0,0,0,2,1,4
761,4,3,2,4,4,4,0
762,0,4,0,2,4,3,0
763,3,4,1,1,3,4,3
764,3,4,0,2,4,4,1
765,0,0,4,0,2,3,2
766,2,4,3,2,0,2,3
767,1,1,0,0,2,4,1
768,2,0,3,4,3,2,1
769,0,3,2,0,0,0,2
770,4,3,0,3,0,4,2
771,2,2,1,0,2,0,3
772,1,4,4,4,0,0,3
773,3,0,1,3,2,1,0
774,3,0,0,3,0,1,0
775,3,1,4,0,3,0,0
776,1,0,0,4,3,4,1
777,1,4,0,4,1,1,0
778,2,1,3,0,2,2,0
779,0,0,3,4,2,2,3
780,3,1,4,3,3,3,1
781,1,2,0,2,4,3,2
782,4,2,0,1,3,4,0
783,0,3,4,4,3,0,4
784,3,1,4,3,4,0,2
785,0,4,0,4,4,4,2
