,chlorides,total_sulfur_dioxide,volatile_acidity,free_sulfur_dioxide,density,sulphates,residual_sugar
0,0,3,2,0,4,0,0
1,0,1,1,0,1,0,0
2,2,1,0,0,0,0,0
3,0,0,0,0,0,3,0
4,0,0,1,0,0,1,0
5,0,1,4,0,1,0,0
6,0,1,0,0,0,0,0
7,4,0,1,0,1,1,2
8,1,1,1,0,4,0,0
9,1,1,0,0,0,0,0
10,0,1,1,0,0,0,0
11,0,1,1,0,0,0,0
12,0,1,0,0,1,2,0
13,4,1,0,0,0,1,0
14,0,4,2,0,0,3,0
15,0,0,1,0,2,1,0
16,0,1,0,0,1,0,0
17,4,2,1,0,4,0,0
18,0,4,0,0,4,0,0
19,0,1,1,4,0,0,0
20,2,0,0,0,0,3,1
21,0,1,3,3,0,0,0
22,4,0,1,0,0,0,0
23,0,2,0,0,0,0,4
24,0,2,0,3,1,0,1
25,0,1,1,4,1,4,1
26,1,1,0,0,1,0,0
27,0,0,4,0,1,1,0
28,0,0,1,0,0,0,0
29,1,0,0,2,0,1,0
30,0,2,4,1,0,1,0
31,1,1,0,1,4,0,0
32,3,1,1,0,1,1,0
33,0,1,1,0,0,0,0
34,0,4,0,0,0,0,3
35,0,0,1,0,0,0,0
36,0,2,1,0,0,4,0
37,0,4,0,1,1,0,1
38,0,1,0,0,3,0,0
39,0,1,0,0,0,0,0
40,0,1,0,0,0,1,0
41,3,2,3,0,0,0,0
42,0,0,0,3,4,1,0
43,0,2,3,3,0,1,0
44,0,1,4,0,3,3,0
45,2,0,1,0,0,1,1
46,0,4,0,0,4,0,0
47,0,1,0,0,1,0,1
48,1,2,1,0,1,0,1
49,3,0,0,0,0,0,0
50,0,1,0,0,2,0,0
51,0,3,1,0,0,1,0
52,0,1,3,0,0,4,0
53,0,2,2,4,0,1,0
54,0,0,4,1,0,1,0
55,0,0,0,0,0,1,0
56,1,1,0,0,0,0,0
57,0,1,0,0,0,0,0
58,0,0,1,0,0,1,0
59,0,2,4,0,0,0,0
60,0,1,0,4,0,0,0
61,0,1,2,1,0,0,3
62,0,1,1,0,1,2,0
63,1,0,1,0,3,1,1
64,0,0,0,0,0,0,0
65,0,1,0,0,0,4,0
66,0,2,0,0,0,1,0
67,0,1,4,4,0,1,3
68,1,0,0,0,4,3,0
69,0,1,0,0,0,1,0
70,1,0,0,1,1,1,2
71,0,0,0,0,0,1,4
72,0,1,1,0,0,0,0
73,0,3,0,0,0,0,0
74,0,0,2,0,1,0,0
75,0,0,1,0,1,4,0
76,0,1,0,0,4,0,0
77,2,1,0,1,0,1,2
78,0,1,0,1,0,0,0
79,0,0,1,4,1,4,0
80,0,2,1,0,1,4,3
81,0,4,0,0,1,0,1
82,2,1,0,0,0,3,3
83,2,1,4,0,2,1,0
84,0,0,4,0,0,0,0
85,0,1,0,0,3,0,0
86,0,0,0,0,1,0,0
87,1,1,4,0,0,1,0
88,4,1,0,0,0,0,0
89,0,0,2,0,0,0,1
90,0,0,1,0,3,1,1
91,1,0,3,0,0,0,0
92,0,0,0,0,0,0,0
93,0,1,0,0,1,0,1
94,0,2,0,0,0,1,4
95,0,0,0,1,0,1,0
96,0,1,0,0,0,0,0
97,0,2,3,0,0,0,0
98,3,2,0,1,1,1,2
99,0,0,0,0,0,0,0
100,0,1,0,0,0,0,0
101,1,1,0,2,0,0,0
102,4,3,0,0,0,0,0
103,0,0,0,3,0,1,0
104,0,1,0,0,1,0,1
105,0,2,3,0,0,0,0
106,0,1,0,0,0,2,4
107,0,0,1,4,1,4,2
108,0,3,3,0,0,0,0
109,0,1,0,1,0,3,0
110,4,1,0,0,0,1,0
111,0,1,1,4,2,0,0
112,0,1,0,0,2,0,0
113,0,0,1,0,4,1,0
114,0,2,0,0,2,0,3
115,0,0,2,1,1,1,2
116,4,0,1,4,1,1,1
117,0,2,3,1,1,0,3
118,3,1,1,0,0,0,0
119,0,4,1,1,0,1,1
120,0,1,4,0,0,0,0
121,0,1,4,4,0,0,0
122,0,0,2,0,0,0,3
123,0,1,0,0,0,1,0
124,0,0,0,0,1,1,0
125,0,0,0,0,1,1,0
126,4,0,3,1,1,2,1
127,0,1,0,0,0,1,0
128,0,1,0,0,0,0,0
129,0,1,0,4,2,1,1
130,0,2,0,0,0,0,0
131,0,1,0,0,0,0,0
132,0,1,1,0,0,0,0
133,0,1,3,3,0,4,0
134,0,4,2,3,0,0,0
135,4,0,2,0,0,0,0
136,0,2,0,3,0,0,0
137,0,1,0,0,4,0,3
138,0,0,0,0,4,0,4
139,0,1,0,4,1,1,1
140,4,0,0,0,0,0,0
141,0,0,0,0,0,3,0
142,0,1,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,2,0,1,4,0,1
146,1,1,0,3,0,0,2
147,0,1,0,0,0,3,2
148,0,1,1,0,0,0,0
149,0,4,2,0,1,0,0
150,0,0,1,0,1,0,0
151,0,1,1,0,0,0,0
152,0,0,1,0,0,2,0
153,4,2,4,0,0,1,0
154,0,0,4,2,0,1,0
155,2,1,0,0,0,0,0
156,0,0,0,1,3,0,0
157,0,3,1,0,2,1,0
158,2,0,2,2,2,4,1
159,0,0,0,1,1,1,0
160,4,4,2,1,0,0,0
161,0,0,0,0,4,0,0
162,0,0,0,3,0,0,0
163,0,4,4,0,0,0,3
164,1,2,0,1,0,0,4
165,0,2,0,0,1,0,1
166,0,4,4,4,2,1,2
167,0,2,0,0,0,0,0
168,0,2,0,3,1,3,0
169,0,0,1,2,0,1,1
170,4,0,4,0,0,0,0
171,0,0,1,0,1,1,0
172,0,0,0,0,1,1,2
173,0,2,0,1,1,0,1
174,3,2,0,1,0,0,0
175,0,2,2,0,0,1,0
176,0,1,0,0,0,0,0
177,0,1,0,0,0,2,2
178,2,1,0,0,3,3,2
179,0,0,0,1,1,0,0
180,0,0,1,0,1,1,0
181,0,0,0,0,1,4,0
182,4,1,0,0,0,4,0
183,0,1,0,1,0,0,0
184,4,2,0,0,0,0,0
185,1,1,0,1,0,1,3
186,0,0,1,0,1,0,3
187,0,1,1,0,2,0,0
188,0,1,0,3,1,0,1
189,0,0,0,0,3,1,0
190,0,1,1,3,0,1,2
191,0,1,0,0,0,2,0
192,0,1,0,0,0,1,0
193,0,1,0,2,0,0,3
194,0,0,2,0,0,1,0
195,1,1,0,4,4,0,1
196,1,0,0,0,0,2,0
197,0,1,0,0,0,0,0
198,0,1,0,1,0,4,2
199,4,1,0,1,1,0,0
200,0,1,0,0,0,0,0
201,0,0,1,0,1,2,0
202,0,1,0,2,0,0,0
203,0,0,2,0,1,0,0
204,0,1,0,0,1,0,1
205,0,4,0,1,0,0,1
206,3,0,0,3,2,4,0
207,1,2,2,0,0,1,0
208,0,1,0,0,2,1,0
209,0,3,2,0,0,1,0
210,1,0,0,0,2,1,0
211,0,1,0,0,4,0,4
212,0,0,0,0,0,1,0
213,2,0,2,0,0,1,0
214,0,1,2,0,0,0,0
215,0,2,0,1,1,0,2
216,0,3,1,0,1,3,3
217,0,1,0,0,0,1,0
218,0,1,0,0,0,3,0
219,3,1,0,4,1,0,0
220,1,1,1,0,0,0,0
221,2,0,0,2,4,1,0
222,2,1,0,0,0,0,0
223,0,0,3,0,0,0,0
224,4,1,0,0,2,0,0
225,0,1,0,0,0,0,0
226,3,1,0,0,0,0,0
227,0,0,1,0,0,1,0
228,0,3,0,0,0,0,3
229,0,3,1,0,3,0,0
230,3,4,1,0,1,0,1
231,0,0,3,0,1,1,0
232,0,0,0,1,0,1,2
233,0,0,1,0,4,1,3
234,0,1,1,0,0,0,0
235,0,0,1,0,0,1,0
236,0,0,2,3,0,1,2
237,4,1,0,4,0,1,0
238,1,0,0,0,0,1,0
239,0,1,0,0,0,0,0
240,0,2,0,3,1,3,0
241,0,0,1,4,1,0,0
242,0,1,0,1,0,0,0
243,0,1,0,0,2,1,0
244,4,1,0,4,1,0,0
245,0,1,0,0,0,0,0
246,0,0,0,0,3,1,0
247,0,1,0,0,1,4,0
248,0,1,0,0,4,0,3
249,0,1,1,1,0,0,3
250,0,1,1,2,0,0,0
251,0,1,0,0,0,0,4
252,1,0,1,0,0,4,0
253,4,4,0,2,0,0,0
254,0,1,0,1,0,0,4
255,4,1,4,0,0,0,0
256,0,3,0,1,0,1,0
257,0,1,0,0,2,3,0
258,1,1,1,0,1,0,0
259,4,0,0,0,0,0,3
260,0,1,3,0,2,2,0
261,0,4,2,0,0,0,0
262,0,4,2,4,0,4,0
263,0,0,0,0,1,1,0
264,0,3,1,0,1,3,0
265,0,1,1,0,3,0,0
266,0,1,0,0,0,1,0
267,0,1,1,0,1,1,0
268,0,0,3,4,0,1,3
269,0,1,1,0,4,4,0
270,2,1,0,1,0,0,1
271,0,0,3,0,1,3,0
272,0,0,0,0,2,0,2
273,0,4,2,4,3,0,0
274,0,1,0,0,1,0,2
275,0,1,0,3,0,0,0
276,0,1,0,0,0,0,0
277,1,3,0,0,0,0,0
278,0,0,3,0,0,4,0
279,0,2,0,0,2,3,2
280,0,0,1,2,1,1,4
281,0,1,0,1,4,1,0
282,1,1,1,0,4,0,0
283,0,0,1,0,3,0,0
284,0,0,1,0,1,1,2
285,3,0,0,0,0,1,0
286,4,2,0,2,0,1,1
287,2,0,1,4,1,1,0
288,4,1,0,0,0,2,0
289,0,0,0,2,0,0,0
290,0,1,0,0,0,2,4
291,2,0,0,0,0,0,0
292,0,4,0,0,0,0,0
293,0,0,0,2,0,1,1
294,0,3,2,3,2,0,0
295,0,1,0,0,2,0,1
296,0,1,2,0,0,4,0
297,2,4,2,0,0,0,2
298,0,0,0,4,1,1,0
299,1,1,0,0,0,2,0
300,0,3,0,1,3,0,1
301,0,1,0,1,2,0,0
302,0,2,1,0,0,0,0
303,0,0,0,0,4,2,0
304,0,0,4,2,3,0,0
305,3,1,1,0,1,2,0
306,0,1,1,0,0,2,3
307,0,2,0,0,0,0,0
308,3,1,0,3,0,0,0
309,0,1,2,1,0,1,0
310,2,2,0,3,0,0,2
311,0,1,0,0,0,1,4
312,0,1,0,4,0,1,2
313,0,1,4,2,0,3,3
314,1,1,0,0,0,0,0
315,0,0,0,0,0,1,0
316,0,0,0,0,2,0,0
317,0,1,1,1,0,3,3
318,0,0,0,0,1,3,3
319,0,3,0,3,0,1,0
320,0,1,0,0,0,2,1
321,0,1,2,0,0,1,0
322,0,0,0,0,4,0,0
323,4,1,0,1,0,0,0
324,0,1,3,0,0,0,2
325,3,1,0,0,0,2,0
326,0,4,0,0,4,0,1
327,0,1,3,0,4,1,0
328,0,0,1,2,0,0,2
329,0,2,0,0,1,1,0
330,0,4,0,0,0,0,0
331,0,1,2,4,0,1,0
332,0,0,1,0,0,0,2
333,0,0,2,0,0,1,3
334,1,0,3,0,0,2,0
335,0,1,0,0,1,0,1
336,4,1,0,3,0,0,0
337,0,1,0,1,0,0,1
338,0,1,0,4,0,0,0
339,4,2,0,0,2,0,3
340,1,3,4,0,1,1,0
341,0,0,1,2,0,0,0
342,0,1,0,0,2,0,1
343,0,1,0,0,0,0,0
344,0,2,0,0,0,0,0
345,4,2,0,0,0,1,0
346,1,1,0,1,0,4,1
347,0,3,4,0,4,4,0
348,0,2,0,0,0,0,0
349,0,0,0,3,0,0,0
350,2,1,0,0,0,0,0
351,0,1,0,0,3,3,0
352,0,0,0,1,0,0,2
353,0,1,0,0,1,0,0
354,0,1,0,3,0,1,0
355,4,2,0,0,3,0,0
356,0,2,3,1,0,0,0
357,4,2,0,0,0,1,0
358,0,0,3,0,1,0,3
359,0,1,0,0,0,4,0
360,0,1,0,4,1,0,0
361,0,0,2,0,3,1,0
362,0,2,1,1,4,0,0
363,0,3,1,0,1,1,0
364,0,1,0,0,3,0,0
365,1,2,0,0,0,1,0
366,0,1,1,0,0,1,0
367,0,0,2,4,0,0,0
368,0,1,0,0,0,1,0
369,0,1,0,3,0,1,0
370,3,1,1,0,1,1,1
371,0,1,2,0,0,0,0
372,0,0,0,0,0,0,0
373,0,2,4,0,0,2,0
374,0,2,4,0,0,0,0
375,0,1,0,0,0,1,0
376,3,0,1,0,0,3,0
377,0,2,0,2,1,0,0
378,4,0,1,4,0,4,0
379,3,1,3,0,0,0,0
380,2,2,0,0,0,1,1
381,0,1,0,0,0,0,0
382,1,1,0,0,3,2,0
383,0,2,2,0,2,1,1
384,0,1,0,0,1,0,0
385,2,1,0,0,4,1,4
386,0,1,1,0,0,0,0
387,1,2,0,3,0,0,4
388,2,1,2,0,0,0,0
389,0,1,0,0,0,0,0
390,0,0,0,1,1,1,0
391,0,1,0,0,0,0,4
392,0,4,1,0,1,0,0
393,0,1,4,0,1,0,0
394,0,0,0,1,1,2,0
395,0,1,0,3,0,2,2
396,0,1,4,0,1,2,0
397,0,0,0,0,0,3,0
398,1,0,0,0,0,0,0
399,0,1,4,1,0,4,3
400,3,0,1,0,0,0,0
401,0,0,1,0,0,2,0
402,0,0,0,0,0,0,0
403,1,0,1,4,0,1,0
404,0,0,1,0,1,0,0
405,0,1,4,2,2,0,0
406,0,1,1,1,0,1,1
407,3,1,0,0,0,0,1
408,0,0,1,0,1,3,1
409,4,3,1,4,1,0,1
410,0,0,3,0,0,0,0
411,0,4,0,0,1,0,0
412,3,3,1,2,0,0,3
413,0,1,2,0,0,2,0
414,0,1,1,0,0,0,0
415,2,4,1,0,1,0,0
416,0,1,0,0,1,0,0
417,0,2,1,1,0,3,0
418,0,2,0,0,1,4,0
419,0,0,1,3,3,1,0
420,1,1,0,0,1,0,0
421,0,2,0,0,0,0,1
422,1,1,1,2,0,0,0
423,0,1,0,0,0,0,0
424,0,0,4,0,2,0,0
425,0,0,0,3,4,1,0
426,0,1,1,0,0,0,0
427,0,1,3,0,0,2,0
428,0,3,4,0,0,0,0
429,3,2,1,1,0,0,0
430,0,4,0,3,0,0,0
431,0,1,4,0,3,0,1
432,0,1,1,1,1,2,0
433,0,1,0,1,0,2,0
434,3,0,0,3,0,0,0
435,1,2,3,0,0,0,4
436,2,1,0,0,0,1,0
437,0,0,0,0,0,2,0
438,0,0,0,0,0,0,0
439,0,0,4,0,0,2,0
440,0,1,0,0,0,0,0
441,0,0,0,0,0,1,1
442,0,0,0,0,0,0,0
443,0,0,1,0,0,0,0
444,0,0,0,0,0,0,4
445,4,1,0,0,1,0,1
446,0,1,0,0,1,0,1
447,0,3,1,0,4,1,0
448,0,3,1,0,0,0,3
449,2,1,1,0,0,1,4
450,0,0,1,0,1,0,0
451,0,4,0,0,3,1,1
452,0,0,2,0,1,3,1
453,0,1,0,0,1,0,3
454,0,3,0,0,0,1,2
455,4,0,3,0,0,0,3
456,1,0,2,0,4,0,0
457,0,0,2,0,0,1,0
458,0,0,4,1,0,4,0
459,3,0,1,2,1,1,0
460,1,1,0,0,4,3,0
461,0,2,0,0,0,0,3
462,0,1,0,4,0,0,0
463,0,2,0,0,1,0,1
464,0,1,0,0,0,0,1
465,3,0,3,0,0,0,4
466,0,4,0,0,0,1,0
467,0,4,1,0,0,3,0
468,0,1,1,0,0,2,2
469,1,0,1,4,4,3,0
470,4,1,0,4,0,0,0
471,2,0,1,0,0,0,0
472,2,1,2,2,0,0,2
473,0,2,0,1,0,0,0
474,0,1,4,0,0,0,0
475,0,1,0,0,0,1,4
476,4,1,0,1,0,0,0
477,0,2,0,0,0,1,0
478,0,1,0,0,0,0,0
479,0,1,0,1,0,0,0
480,0,1,3,1,1,0,4
481,0,2,1,4,0,0,0
482,0,2,0,0,4,1,0
483,0,0,0,0,0,4,0
484,0,1,1,0,0,0,1
485,0,1,1,1,2,0,0
486,0,2,3,0,0,0,1
487,0,0,1,1,1,1,3
488,0,1,3,4,0,0,1
489,1,1,0,0,0,2,0
490,4,1,0,0,0,0,0
491,2,1,4,1,1,0,0
492,1,1,0,3,0,0,0
493,4,1,0,0,0,0,3
494,0,0,2,1,0,0,0
495,0,3,0,0,1,0,0
496,0,0,0,0,0,2,0
497,0,2,0,0,2,4,0
498,0,1,0,4,1,0,0
499,4,4,0,1,0,0,4
500,1,1,0,0,4,2,4
501,2,3,0,3,4,0,0
502,1,0,0,1,2,1,4
503,0,2,0,0,0,0,0
504,0,0,0,0,0,0,0
505,0,0,4,0,4,0,2
506,0,1,4,0,4,2,0
507,0,2,3,1,0,0,1
508,0,4,1,0,0,1,0
509,0,0,2,0,3,1,0
510,1,1,4,1,1,2,0
511,0,2,4,1,0,2,0
512,1,0,1,0,3,3,0
513,0,1,0,1,0,1,2
514,1,0,1,0,0,1,0
515,0,0,0,0,3,0,4
516,0,3,0,0,4,0,2
517,0,4,0,3,0,1,0
518,0,3,1,0,0,0,0
519,0,1,2,0,0,2,0
520,0,1,1,0,0,0,0
521,0,2,0,1,4,0,0
522,0,1,3,0,0,1,0
523,0,0,1,1,0,0,0
524,1,2,1,1,3,2,0
525,2,0,1,0,0,2,0
526,0,1,0,0,1,2,2
527,3,0,0,2,0,1,0
528,1,0,2,0,0,0,0
529,1,0,2,0,0,1,0
530,0,1,0,1,2,0,0
531,0,1,2,0,0,0,0
532,0,1,0,0,0,1,0
533,0,1,2,1,0,3,0
534,0,1,1,4,4,4,0
535,1,0,0,0,0,0,1
536,0,0,1,1,1,0,0
537,0,0,3,0,0,1,1
538,0,2,0,0,2,1,0
539,0,1,0,0,0,0,0
540,0,1,0,0,2,1,0
541,0,2,0,2,0,1,0
542,0,4,0,0,3,0,0
543,0,2,0,0,1,3,0
544,0,0,0,0,0,1,0
545,0,0,1,0,0,0,0
546,0,0,3,0,2,1,0
547,0,2,1,0,0,0,0
548,0,0,0,0,2,1,0
549,3,0,0,0,4,0,0
550,1,0,0,2,2,1,0
551,0,1,3,0,0,0,0
552,2,1,4,0,0,0,0
553,0,1,0,0,0,0,0
554,4,1,3,1,0,0,0
555,0,1,0,0,2,0,0
556,0,0,0,0,0,3,4
557,3,0,3,0,1,1,4
558,0,1,0,0,0,0,0
559,0,1,0,0,0,0,0
560,0,1,3,0,1,0,0
561,2,0,1,2,2,0,0
562,0,0,3,0,0,1,4
563,0,0,0,0,0,0,2
564,0,1,0,3,0,0,0
565,0,1,0,0,1,1,0
566,0,1,0,1,0,0,3
567,0,0,0,0,0,0,2
568,0,1,1,0,4,0,3
569,1,2,2,0,1,1,2
570,0,1,0,3,0,4,0
571,0,0,0,0,1,1,3
572,0,1,0,0,0,1,2
573,3,1,0,0,0,0,0
574,0,1,1,0,0,1,0
575,3,0,1,2,0,2,4
576,0,2,0,0,0,0,0
577,0,1,0,0,0,0,3
578,0,2,0,0,0,0,0
579,0,1,0,0,0,0,0
580,0,1,4,0,0,0,1
581,0,0,4,3,2,0,1
582,0,1,3,1,4,0,0
583,0,1,0,0,1,0,2
584,0,2,4,0,0,0,1
585,0,1,0,4,4,0,0
586,2,0,0,3,2,3,0
587,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0
589,0,1,0,0,0,3,0
590,0,2,0,0,1,0,1
591,1,0,4,3,0,0,0
592,0,1,0,0,0,0,0
593,3,4,1,0,0,4,0
594,4,1,0,1,0,0,3
595,0,1,0,0,1,1,1
596,0,1,0,0,3,1,0
597,3,2,2,0,0,1,4
598,0,1,0,0,0,0,0
599,0,2,0,4,3,0,4
600,0,3,1,3,0,0,0
601,0,0,0,0,0,0,0
602,0,4,0,1,2,0,1
603,0,0,0,0,1,1,0
604,3,0,1,0,0,0,4
605,0,1,0,0,0,0,0
606,0,1,0,1,0,0,2
607,4,0,1,0,4,1,0
608,0,2,0,3,0,2,0
609,4,0,1,0,1,1,0
610,0,0,1,0,0,1,0
611,0,0,1,0,0,0,2
612,0,1,0,0,0,0,0
613,0,0,0,0,0,0,1
614,0,0,1,4,1,0,0
615,0,1,3,0,0,0,0
616,1,0,0,4,0,4,0
617,0,1,0,1,0,1,0
618,0,2,0,1,0,0,2
619,0,1,0,0,0,0,0
620,0,1,4,1,2,1,0
621,0,2,0,0,4,1,1
622,0,2,0,0,0,0,0
623,0,1,0,2,0,2,0
624,0,1,0,3,3,0,0
625,0,2,0,0,2,0,0
626,0,1,0,2,1,0,1
627,0,3,3,0,0,1,4
628,2,0,4,0,1,3,0
629,4,4,1,0,0,0,3
630,4,0,0,4,0,0,3
631,0,2,4,3,1,1,0
632,0,1,0,0,1,0,2
633,0,1,0,0,0,0,0
634,4,1,0,0,0,0,0
635,0,3,0,0,0,0,1
636,0,0,0,0,2,1,1
637,0,0,1,0,2,0,0
638,0,4,4,0,2,2,0
639,0,0,1,3,1,3,0
640,0,1,0,0,1,0,0
641,0,0,2,1,1,1,0
642,0,0,0,0,0,0,0
643,0,2,0,0,0,0,0
644,0,0,4,0,1,0,0
645,0,2,0,0,1,0,1
646,0,1,4,0,0,0,0
647,4,3,0,4,0,0,0
648,0,2,0,0,0,1,0
649,4,1,0,0,0,0,4
650,4,1,1,0,4,0,0
651,0,2,0,0,0,1,1
652,0,0,3,4,4,4,0
653,2,0,2,0,2,1,1
654,3,1,0,0,0,0,0
655,1,1,0,1,2,2,0
656,0,3,2,0,3,2,0
657,3,2,1,1,0,0,0
658,0,2,0,2,0,0,0
659,0,1,4,0,2,0,0
660,0,1,3,0,0,2,0
661,0,0,1,0,0,0,2
662,0,1,0,1,0,0,0
663,0,4,0,0,0,0,1
664,0,2,0,0,1,2,2
665,0,1,0,0,2,3,0
666,0,1,0,0,1,0,0
667,0,1,4,0,0,0,0
668,0,1,0,3,0,1,1
669,0,0,0,0,0,0,2
670,0,1,0,1,0,1,0
671,3,4,0,0,4,0,0
672,4,0,1,0,0,0,0
673,0,1,0,0,1,0,3
674,0,1,1,0,1,1,1
675,4,4,0,0,0,0,0
676,1,2,2,0,2,1,0
677,2,1,0,0,0,0,0
678,0,3,1,0,4,1,0
679,1,1,0,0,0,4,4
680,2,0,0,0,0,0,0
681,0,1,0,3,2,0,3
682,3,4,0,0,4,4,1
683,1,4,1,1,0,2,0
684,4,4,2,1,1,1,0
685,0,0,1,0,0,1,4
686,4,1,2,0,0,0,0
687,0,1,0,0,0,0,0
688,4,1,1,0,0,0,1
689,0,1,0,0,0,0,0
690,0,0,1,1,0,1,0
691,3,1,1,0,0,0,0
692,0,1,4,0,0,0,0
693,0,4,1,1,0,1,1
694,0,0,1,3,1,1,0
695,1,2,0,1,2,2,3
696,3,0,1,0,0,1,0
697,0,2,0,0,2,0,0
698,0,1,3,0,1,0,0
699,0,0,0,0,0,2,0
700,4,1,0,1,1,0,1
701,0,2,0,0,0,2,1
702,1,1,1,0,0,0,0
703,0,1,0,3,0,0,0
704,0,0,1,0,1,3,3
705,0,3,2,4,1,0,0
706,0,4,0,0,0,0,0
707,0,4,0,0,0,0,0
708,0,0,1,0,1,1,0
709,0,1,0,0,0,0,0
710,0,1,2,0,0,0,0
711,3,2,0,0,3,1,3
712,4,1,0,0,0,1,4
713,0,1,0,0,0,0,0
714,0,0,1,0,0,0,1
715,3,2,1,0,0,0,1
716,0,0,0,0,0,3,0
717,0,1,1,0,0,1,0
718,0,1,1,0,0,0,0
719,2,0,0,0,0,2,0
720,0,3,0,0,0,0,0
721,2,1,0,1,1,0,0
722,2,1,0,4,3,1,0
723,2,1,1,0,0,0,0
724,0,2,0,0,1,3,0
725,0,3,0,0,1,0,0
726,0,1,0,0,0,0,4
727,0,3,0,0,1,1,0
728,2,3,3,0,0,0,1
729,0,1,0,0,0,0,1
730,0,4,0,0,0,0,0
731,1,0,4,0,2,2,0
732,0,0,0,0,0,1,0
733,0,2,1,0,1,1,3
734,0,0,0,0,0,1,3
735,0,1,1,0,0,0,0
736,0,0,0,0,0,0,0
737,0,1,0,4,1,0,0
738,0,1,0,0,0,4,0
739,0,4,0,3,0,0,0
740,0,4,4,0,4,4,0
741,4,0,1,0,0,1,0
742,0,0,1,2,0,0,4
743,0,3,0,3,0,0,0
744,3,0,0,2,1,0,0
745,0,1,0,0,0,1,0
746,1,0,0,0,1,1,1
747,4,2,0,0,0,0,0
748,0,2,0,0,4,4,0
749,0,0,0,4,0,0,0
750,4,4,1,4,1,4,0
751,0,0,1,0,0,1,0
752,1,0,2,0,0,4,4
753,0,1,4,4,3,0,3
754,1,2,1,3,1,1,0
755,0,1,0,1,0,0,0
756,3,1,0,0,2,1,0
757,0,3,1,0,0,3,0
758,0,0,0,0,3,0,0
759,1,0,0,0,1,0,1
760,0,1,0,2,0,1,0
761,2,2,0,0,0,0,0
762,2,1,0,0,4,0,0
763,0,0,0,2,0,0,0
764,0,1,0,1,0,0,4
765,0,1,0,4,1,0,3
766,0,1,0,4,0,3,4
767,0,1,4,0,0,4,0
768,0,3,3,1,1,0,4
769,0,1,1,3,0,0,0
770,0,1,0,3,3,0,0
771,2,4,0,2,0,3,0
772,1,0,4,0,0,0,0
773,1,0,1,0,0,0,0
774,1,2,0,2,4,1,0
775,0,1,0,2,2,0,3
776,0,1,0,0,0,4,3
777,0,0,2,0,0,4,0
778,0,0,1,0,0,1,0
779,0,1,2,1,1,3,1
780,0,0,0,0,0,0,0
781,0,1,1,1,0,0,0
782,4,1,0,1,2,0,0
783,0,1,0,1,0,0,0
784,2,0,1,0,1,0,0
785,0,0,4,0,0,0,2
